iter	Passed	Remaining
408	3799	5490
409	3806	5477
410	3812	5463
411	3823	5456
412	3830	5444
413	3838	5432
414	3844	5419
415	3851	5407
416	3858	5394
417	3864	5381
418	3871	5368
419	3879	5356
420	3885	5344
421	3892	5331
422	3900	5320
423	3907	5308
424	3914	5295
425	3921	5283
426	3928	5271
427	3935	5259
428	3942	5247
429	3949	5235
430	3956	5223
431	3963	5210
432	3970	5199
433	3977	5187
434	3984	5175
435	3991	5163
436	3999	5152
437	4005	5139
438	4012	5127
439	4019	5115
440	4025	5102
441	4032	5090
442	4039	5078
443	4046	5066
444	4052	5054
445	4059	5041
446	4065	5029
447	4072	5018
448	4079	5006
449	4086	4994
450	4092	4982
451	4100	4971
452	4106	4959
453	4113	4947
454	4119	4934
455	4126	4922
456	4133	4911
457	4140	4899
458	4146	4887
459	4154	4876
460	4161	4865
461	4168	4853
462	4176	4843
463	4183	4832
464	4189	4820
465	4196	4808
466	4202	4796
467	4210	4786
468	4217	4774
469	4223	4762
470	4230	4751
471	4236	4739
472	4243	4727
473	4249	4715
474	4256	4704
475	4262	4692
476	4269	4681
477	4276	4669
478	4282	4657
479	4288	4646
480	4295	4634
481	4301	4623
482	4308	4611
483	4315	4600
484	4321	4588
485	4327	4577
486	4334	4565
487	4342	4555
488	4351	4547
489	4362	4540
490	4385	4545
491	4402	4545
492	4422	4548
493	4455	4563
494	4475	4565
495	4499	4572
496	4518	4573
497	4536	4573
498	4553	4571
499	4573	4573
500	4590	4572
501	4607	4570
502	4624	4569
503	4640	4566
504	4656	4563
505	4677	4566
506	4694	4564
507	4711	4563
508	4728	4561
509	4741	4555
510	4752	4547
511	4764	4541
512	4776	4534
513	4787	4527
514	4798	4518
515	4808	4510
516	4821	4504
517	4832	4496
518	4841	4487
519	4854	4480
520	4863	4471
521	4871	4460
522	4879	4450
523	4887	4439
524	4896	4430
525	4905	4420
526	4913	4410
527	4920	4399
528	4928	4388
529	4936	4377
530	4943	4366
531	4949	4354
532	4957	4343
533	4964	4332
534	4971	4321
535	4978	4310
536	4984	4297
537	4991	4286
538	4998	4274
539	5004	4263
540	5010	4251
541	5017	4239
542	5024	4228
543	5031	4217
544	5038	4206
545	5045	4195
546	5052	4184
547	5058	4172
548	5065	4161
549	5071	4149
550	5078	4138
551	5085	4127
552	5093	4117
553	5100	4106
554	5107	4095
555	5114	4084
556	5120	4072
557	5127	4061
558	5136	4051
559	5142	4040
560	5148	4029
561	5155	4017
562	5161	4006
563	5168	3995
564	5175	3984
565	5182	3973
566	5188	3962
567	5194	3950
568	5202	3940
569	5213	3933
570	5223	3924
571	5239	3920
572	5269	3927
573	5297	3931
574	5305	3921
575	5322	3917
576	5338	3913
577	5354	3909
578	5367	3902
579	5378	3895
580	5386	3884
581	5401	3879
582	5415	3873
583	5426	3865
584	5433	3854
585	5447	3848
586	5459	3841
587	5467	3830
588	5479	3823
589	5490	3815
590	5497	3804
591	5510	3797
592	5517	3786
593	5525	3776
594	5531	3765
595	5543	3757
596	5551	3747
597	5558	3736
598	5564	3725
599	5571	3714
600	5578	3703
601	5586	3693
602	5592	3681
603	5599	3671
604	5606	3660
605	5613	3649
606	5620	3638
607	5627	3627
608	5634	3617
609	5640	3606
610	5648	3595
611	5654	3584
612	5662	3574
613	5672	3565
614	5679	3555
615	5686	3544
616	5694	3534
617	5704	3525
618	5720	3520
619	5736	3515
620	5753	3511
621	5772	3508
622	5793	3505
623	5815	3504
624	5834	3500
625	5853	3497
626	5874	3494
627	5893	3490
628	5916	3489
629	5933	3484
630	5959	3485
631	5977	3480
632	5995	3476
633	6014	3472
634	6042	3473
635	6060	3468
636	6079	3464
637	6098	3460
638	6119	3457
639	6140	3454
640	6159	3449
641	6177	3444
642	6194	3439
643	6211	3433
644	6240	3434
645	6256	3428
646	6275	3423
647	6297	3420
648	6309	3412
649	6326	3406
650	6347	3403
651	6364	3396
652	6382	3391
653	6397	3384
654	6410	3376
655	6426	3370
656	6433	3358
657	6447	3351
658	6460	3342
659	6474	3335
660	6482	3324
661	6494	3316
662	6507	3307
663	6522	3300
664	6529	3289
665	6544	3282
666	6560	3275
667	6574	3267
668	6586	3258
669	6594	3247
670	6607	3239
671	6618	3230
672	6625	3219
673	6636	3210
674	6645	3199
675	6652	3188
676	6658	3176
677	6665	3165
678	6672	3154
679	6679	3143
680	6689	3133
681	6699	3123
682	6707	3113
683	6719	3104
684	6731	3095
685	6740	3085
686	6756	3078
687	6770	3070
688	6786	3063
689	6803	3056
690	6819	3049
691	6832	3041
692	6851	3035
693	6867	3027
694	6881	3019
695	6892	3010
696	6900	2999
697	6913	2991
698	6924	2981
699	6933	2971
700	6947	2963
701	6957	2953
702	6963	2942
703	6971	2931
704	6978	2920
705	6986	2909
706	6995	2899
707	7004	2888
708	7010	2877
709	7018	2866
710	7025	2855
711	7032	2844
712	7038	2833
713	7045	2822
714	7052	2810
715	7058	2799
716	7065	2788
717	7072	2777
718	7079	2766
719	7085	2755
720	7091	2744
721	7099	2733
722	7105	2722
723	7112	2711
724	7118	2700
725	7125	2689
726	7134	2679
727	7140	2668
728	7147	2656
729	7154	2646
730	7162	2635
731	7168	2624
732	7175	2613
733	7182	2602
734	7189	2592
735	7196	2581
736	7203	2570
737	7210	2559
738	7234	2555
739	7257	2549
740	7279	2544
741	7295	2536
742	7313	2529
743	7331	2522
744	7348	2515
745	7368	2508
746	7387	2501
747	7408	2495
748	7426	2488
749	7443	2481
750	7469	2476
751	7486	2469
752	7503	2461
753	7522	2454
754	7545	2448
755	7571	2443
756	7589	2436
757	7607	2428
758	7623	2420
759	7637	2411
760	7660	2405
761	7679	2398
762	7690	2388
763	7706	2380
764	7729	2374
765	7743	2365
766	7756	2356
767	7772	2347
768	7790	2340
769	7810	2332
770	7826	2324
771	7844	2316
772	7856	2307
773	7865	2296
774	7873	2285
775	7881	2275
776	7890	2264
777	7898	2253
778	7904	2242
779	7914	2232
780	7922	2221
781	7931	2210
782	7937	2199
783	7945	2189
784	7953	2178
785	7961	2167
786	7968	2156
787	7979	2146
788	7986	2135
789	8002	2127
790	8014	2117
791	8020	2106
792	8029	2095
793	8037	2085
794	8047	2075
795	8055	2064
796	8064	2054
797	8074	2043
798	8082	2033
799	8092	2023
800	8099	2012
801	8108	2001
802	8115	1990
803	8124	1980
804	8131	1969
805	8139	1959
806	8148	1948
807	8158	1938
808	8166	1928
809	8174	1917
810	8182	1906
811	8188	1895
812	8195	1885
813	8212	1876
814	8221	1866
815	8228	1855
816	8239	1845
817	8246	1834
818	8254	1824
819	8264	1814
820	8270	1803
821	8279	1792
822	8287	1782
823	8294	1771
824	8301	1760
825	8307	1750
826	8314	1739
827	8323	1729
828	8331	1718
829	8337	1707
830	8345	1697
831	8351	1686
832	8359	1675
833	8365	1665
834	8372	1654
835	8379	1643
836	8386	1633
837	8393	1622
838	8400	1611
839	8406	1601
840	8413	1590
841	8419	1579
842	8426	1569
843	8432	1558
844	8439	1548
845	8446	1537
846	8452	1526
847	8458	1516
848	8465	1505
849	8472	1495
850	8478	1484
851	8485	1473
