iter	MAE	RMSE
138	0.4746065498	0.7359446771
139	0.4722953654	0.7312928035
140	0.4699010442	0.7271177992
141	0.4670715821	0.7223512206
142	0.4645179152	0.7174099498
143	0.4617422637	0.712872897
144	0.459731538	0.7096044763
145	0.4582673917	0.7060039631
146	0.4564686226	0.7023575268
147	0.4544472079	0.6990486842
148	0.4527499069	0.6952446716
149	0.4510998665	0.6919835042
150	0.4489493921	0.6883838499
151	0.4468687831	0.6852447865
152	0.4447831645	0.6817566657
153	0.4434329103	0.6785684939
154	0.4417527778	0.6753086332
155	0.439627959	0.6721364685
156	0.4377981257	0.6693994751
157	0.4365029035	0.666347811
158	0.4344292547	0.6637226874
159	0.433117384	0.6607354447
160	0.4317430485	0.6579272168
161	0.4303189303	0.6551099566
162	0.4287969439	0.6525188591
163	0.4278304563	0.6504116142
164	0.4266888981	0.6477662067
165	0.4253843523	0.6455803616
166	0.4244753249	0.6437025447
167	0.4232357581	0.641708557
168	0.4214658851	0.6391453429
169	0.4199551803	0.6364298324
170	0.4184660345	0.6341788013
171	0.416911734	0.6317762246
172	0.4153880757	0.62958129
173	0.4141569755	0.6277628663
174	0.4126312887	0.6252339007
175	0.4115853509	0.6232237713
176	0.4104922616	0.6209955068
177	0.4094363066	0.6189345234
178	0.4078623336	0.6167289057
179	0.4069256909	0.6144970887
180	0.4060476977	0.6128537964
181	0.4048224486	0.6106788742
182	0.4033525942	0.6087242636
183	0.4022539379	0.6064799968
184	0.4012243671	0.6049473395
185	0.4003678694	0.6034702454
186	0.3995849321	0.6018228412
187	0.3986477239	0.6000936972
188	0.397672896	0.5981136064
189	0.397116127	0.5968011017
190	0.3961852098	0.5951401905
191	0.3951509073	0.5936268403
192	0.394288249	0.5917620309
193	0.3930492781	0.5900361788
194	0.392482014	0.5886064508
195	0.3913466801	0.5869036622
196	0.3906463976	0.5853657897
197	0.3897066432	0.5837530764
198	0.3886492815	0.5822280427
199	0.3880280826	0.5809862664
200	0.3871780231	0.5791698641
201	0.3862587076	0.5770885011
202	0.3855110538	0.5756230038
203	0.3847056979	0.5734959566
204	0.3838042171	0.5718053904
205	0.3830502408	0.5703093359
206	0.3823269232	0.5688951983
207	0.3814874852	0.5670315008
208	0.3802780224	0.5654378118
209	0.379414102	0.563923602
210	0.3783324693	0.56245285
211	0.3772924526	0.56121311
212	0.3763174995	0.5598141335
213	0.3757467863	0.5585856089
214	0.3749242871	0.5573742668
215	0.3740090995	0.5558374567
216	0.3732051757	0.5541093876
217	0.3725955625	0.5528129097
218	0.3716448517	0.5517895549
219	0.3709655548	0.5501034482
220	0.3702349864	0.5485689344
221	0.3692128604	0.5470755748
222	0.3685587634	0.5455373646
223	0.3678744341	0.5442739322
224	0.3670405347	0.5429309256
225	0.3658888741	0.5414949377
226	0.3652026113	0.5402872114
227	0.364348329	0.5389718092
228	0.3636033517	0.5375821852
229	0.3628732118	0.5362456584
230	0.3622887005	0.5350841103
231	0.3614501493	0.5340039425
232	0.3607950716	0.5325123898
233	0.3602588234	0.531525559
234	0.3594157056	0.5302897668
235	0.3585998362	0.5289049481
236	0.3579120879	0.5278406594
237	0.3571339859	0.5263060569
238	0.3564176064	0.5250837028
239	0.3556046297	0.5239113454
240	0.355246493	0.5231668025
241	0.3543859	0.5220441541
242	0.3537139126	0.5210577894
243	0.3530060113	0.5196944107
244	0.3522615171	0.5182806822
245	0.3515811489	0.5172313174
246	0.3508282343	0.5162496788
247	0.3500905693	0.5150799977
248	0.3493168414	0.5138141572
249	0.3486600099	0.5128205822
250	0.3478831123	0.5120262439
251	0.3472734009	0.511097827
252	0.3464810197	0.510175643
253	0.3457657253	0.5091376997
254	0.345175229	0.507771855
255	0.3444805559	0.5066381824
256	0.3438766471	0.5059000815
257	0.3432913217	0.5049994954
258	0.3424610958	0.5033536229
259	0.3416222185	0.501945819
260	0.3408789269	0.5010801697
261	0.3402186809	0.4996112188
262	0.3394708834	0.4983223826
263	0.3389311018	0.4969045377
264	0.3383029576	0.4957843815
265	0.3376657114	0.4946505319
266	0.3371606641	0.4932437854
267	0.336568811	0.4920876071
268	0.3357911217	0.4908992644
269	0.3352695777	0.4900037047
270	0.3346636751	0.4890027857
271	0.3338844486	0.4882143092
272	0.3332790306	0.4873656326
273	0.332757414	0.4863082622
274	0.3321665407	0.485149283
275	0.3317079289	0.4839978725
276	0.3309511527	0.482916924
277	0.3301835894	0.4815736604
278	0.3295438144	0.4804240209
279	0.3288191457	0.4792088408
280	0.3282573578	0.4781790168
281	0.3275397262	0.4768496917
282	0.3267183575	0.475878358
283	0.3260890345	0.4746935329
284	0.3254055163	0.4737930081
285	0.324948521	0.4724288668
286	0.3243794741	0.4713274873
287	0.3237411622	0.4705025077
288	0.3230785336	0.4693279622
289	0.3224959001	0.4682961097
290	0.3218075513	0.4672403773
291	0.321212836	0.4662306994
292	0.3206894016	0.4648512098
293	0.3200983494	0.4638353201
294	0.3194043796	0.4629082614
295	0.318723966	0.4618073095
296	0.3183139505	0.4606351904
297	0.3176800851	0.4596044466
298	0.3171809801	0.4583568171
299	0.3165708782	0.4572543235
300	0.3157079616	0.4561975276
301	0.3151401078	0.4550734514
302	0.3145423063	0.4541277131
303	0.3139880441	0.4531586791
304	0.3134693333	0.4521217687
305	0.3129924981	0.4511552065
306	0.3124684013	0.4501515276
307	0.3118597939	0.4492272054
308	0.3112715246	0.4483361985
309	0.3106775468	0.4474897486
310	0.310113615	0.4467202052
311	0.3097315775	0.4460623556
312	0.3092286955	0.4453977474
313	0.3087755512	0.4444776958
314	0.3081960813	0.4437341845
315	0.3076996469	0.4428866544
316	0.3070548945	0.4419739494
317	0.3065173014	0.4411072624
318	0.3059383965	0.4400706082
319	0.3053626269	0.4390278648
320	0.3048857359	0.438369014
321	0.3043348681	0.4374379902
322	0.3037761023	0.4367469528
323	0.3033703502	0.435785511
324	0.3028111082	0.4351052106
325	0.3022059864	0.4339912421
326	0.3017123401	0.4330411224
